Based on the data from ratemyprofessor.com, we collect the difficulty and quality for each (professor,course) pair(3680 professors * 5-10 courses each).
Also, we try to count the frequency of positive and negative words in students' comment and add/subtract points based on those data.

Some examples of the final rating we provide:
(u'LECAR, H', u'MCB165') 0.0833333333333
(u'SHIH, S', u'COGS05') -0.375
(u'MORETTO, L', u'CHEMB') -0.025
(u'MORETTO, L', u'CHEM15') 0.0125
(u'MORETTO, L', u'CHEM4A') 0.0625
(u'MORETTO, L', u'CHEM4B') 0.08125
(u'MANGA, M', u'EPS50') 0.388888888889
(u'MANGA, M', u'19051') 0.0833333333333
(u'MANGA, M', u'EPSC12') 0.166666666667
(u'MANGA, M', u'ASTROC12') 0.0833333333333
(u'STEWART, J', u'RHETR1A') -0.125
(u'STEWART, J', u'RHET10') 0.0416666666667
(u'STEWART, J', u'RHETR1B') -0.0833333333333
(u'JORGENSEN, J', u'ANTHRO160AC') -0.0833333333333
(u'JORGENSEN, J', u'ANTHRO162') 0.0
(u'JORGENSEN, J', u'ANTH160AC') 0.0
(u'MURAYAMA, H', u'PHYS221AB') 0.0625
(u'MURAYAMA, H', u'PHYS221') 0.0625
(u'MURAYAMA, H', u'221') 0.25
(u'MURAYAMA, H', u'BIGBANG001') 0.25
(u'ELWELL, L', u'ITALIR5B') 0.1
(u'ELWELL, L', u'ITALI1') 0.15
(u'ELWELL, L', u'ITA001') 0.1
(u'ELWELL, L', u'ITALR5B') 0.15
(u'ELWELL, L', u'ITAL1') 0.15
(u'OWENS, D', u'ECON1') 0.25
(u'JAIN, A', u'CHEM112') 0.0
(u'JAIN, A', u'CHEM113') 0.00625
(u'JAIN, A', u'CHEM112B') 0.0
(u'JAIN, A', u'CHEM112A') -0.1625
(u'JAIN, A', u'115') -0.025
(u'JAIN, A', u'CHEM3B') 0.0375
(u'JAIN, A', u'CHEMISTRY112A') -0.05
(u'JAIN, A', u'CHEM112AB') -0.05
(u'NAGLER, M', u'PACS164B') 0.0357142857143
(u'NAGLER, M', u'PACS164A') 0.0892857142857
(u'NAGLER, M', u'PACS') 0.0357142857143
(u'NAGLER, M', u'PACS164') -0.00892857142857
(u'NAGLER, M', u'PACS164AB') 0.0
(u'NAGLER, M', u'164A') -0.0357142857143
(u'NAGLER, M', u'164') -0.0178571428571
(u'NAGLER, M', u'PACS104') 0.0267857142857
(u'STEWART, A', u'ARTHS141A') 0.0
(u'STEWART, A', u'AH10') 0.04375
(u'STEWART, A', u'HISTA10') 0.0125
(u'STEWART, A', u'141HELLENISTIC') -0.01875
(u'STEWART, A', u'ARTHISTORY10') 0.03125
(u'STEWART, A', u'AH192') 0.0125
(u'STEWART, A', u'HELLENISTICART') 0.03125
(u'STEWART, A', u'HISTART141C') 0.0
(u'STEWART, A', u'HA141C') -0.05
(u'STEWART, A', u'AH141C') 0.0
(u'STEWART, A', u'HA 141C') -0.0375
(u'STEWART, A', u'ARTHIST192B') 0.025
(u'STEWART, A', u'ART10') 0.025
(u'STEWART, A', u'AH141') 0.0
(u'STEWART, A', u'HA141B') -0.01875
(u'STEWART, A', u'HA141A') 0.01875
(u'STEWART, A', u'HA1XX') -0.00625
