Based on the data from ratemyprofessor.com, we collect the difficulty and quality for each (professor,course) pair(3680 professors * 5-10 courses each).
Also, we try to count the frequency of positive and negative words in students' comment and add/subtract points based on those data.

Some examples of the final rating we provide:
(u'LI, K', u'CH101AND102') 0.09375
(u'LI, K', u'CHIN100ABX') 0.046875
(u'STURMFELS, B', u'MATH10A') -0.0125
(u'STURMFELS, B', u'MATH10B') 0.01875
(u'STURMFELS, B', u'MATH53') -0.0375
(u'STURMFELS, B', u'MATH16A') 0.03125
(u'STURMFELS, B', u'10B') -0.01875
(u'STURMFELS, B', u'MATH 10B') 0.0125
(u'STURMFELS, B', u'MATH55') 0.05625
(u'STURMFELS, B', u'16A') -0.01875
(u'STURMFELS, B', u'MATH113') 0.1375
(u'JUNKERMAN, N', u'EN226') 0.125
(u'JUNKERMAN, N', u'ENGLR1B') 0.25
(u'JUNKERMAN, N', u'ENGLR1A') -0.166666666667
(u'ALEXANDER, N', u'BUS231') 0.75
(u'HORBERG, L', u'PSYCH156') 0.75
(u'NEZLOBIN, A', u'UGBA102B') -0.25
(u'NEZLOBIN, A', u'102B') -0.125
(u'SHIVELY, J', u'SOC113') 0.0446428571429
(u'SHIVELY, J', u'NATAM152') 0.00892857142857
(u'SHIVELY, J', u'NATAM175') 0.0714285714286
(u'SHIVELY, J', u'SOC113180') 0.0625
(u'SHIVELY, J', u'NATAM158') 0.0357142857143
(u'SHIVELY, J', u'NAS71') 0.107142857143
(u'SHIVELY, J', u'SOC132') 0.0714285714286
(u'SHIVELY, J', u'SOC180') 0.107142857143
(u'BRIMHALL, G', u'EPS170A') 0.104166666667
(u'BRIMHALL, G', u'AC170') 0.03125
(u'BRIMHALL, G', u'GEOLOGY') 0.0
(u'BRIMHALL, G', u'EPS170') 0.177083333333
(u'BRIMHALL, G', u'DIGITALMAPPING') 0.0625
(u'ROBINSON, V', u'ES130') 0.0
(u'ROBINSON, V', u'ESES') -0.0375
(u'ROBINSON, V', u'ETH21AC') 0.03125
(u'ROBINSON, V', u'SPANISH4') 0.0125
(u'ROBINSON, V', u'ETHST21AC') 0.01875
(u'ROBINSON, V', u'ES179') -0.01875
(u'ROBINSON, V', u'21AC') 0.0375
(u'ROBINSON, V', u'ES21AC') 0.11875
(u'RETZINGER, J', u'MS170') 0.0
(u'RETZINGER, J', u'MS160') 0.01875
(u'RETZINGER, J', u'MS130') -0.13125
(u'RETZINGER, J', u'MS102') 0.00625
(u'RETZINGER, J', u'MEDIA102') 0.025
(u'RETZINGER, J', u'MEDST102') 0.01875
(u'STERLING, N', u'R5B') 0.25
(u'STERLING, N', u'SCANDR5B') 0.375
(u'GARCIA, M', u'ENG100') 0.0
(u'GARCIA, M', u'CRN34804') 0.5
(u'AMUNDSON, R', u'ESPM10') 0.0520833333333
(u'AMUNDSON, R', u'ESPM2') 0.166666666667
(u'AMUNDSON, R', u'ESPMC10') 0.239583333333
(u'AMUNDSON, R', u'ESMP120') -0.0729166666667
(u'MCINTYRE, A', u'ME20') 0.375
(u'MCINTYRE, A', u'ANTH114') 0.25
(u'GARCIA, D', u'CS10') 0.3875
(u'GARCIA, D', u'26007') -0.05
(u'GARCIA, D', u'CS61C') 0.05625
(u'ABAN, C', u'FILIPN1A') 0.375
(u'ABAN, C', u'FIL1B') 0.375
(u'PALAU, K', u'ENGR1A') 0.0833333333333
(u'PALAU, K', u'COMPLIT60AC') 0.0833333333333
(u'PALAU, K', u'COMPLITR1A') 0.0416666666667
(u'PALAU, K', u'SPAN1') 0.166666666667
(u'PALAU, K', u'86165') 0.0416666666667
(u'PALAU, K', u'SPAN2') 0.0833333333333
(u'BREITWIESER, M', u'ENG100') 0.0375
(u'BREITWIESER, M', u'ENGN173') 0.06875
(u'BREITWIESER, M', u'ENG130A190') 0.025
(u'BREITWIESER, M', u'ENGLN132') 0.075
(u'BREITWIESER, M', u'ENG190') 0.075
(u'BREITWIESER, M', u'ENG132') 0.0625
(u'BREITWIESER, M', u'ENG1A') 0.025
(u'BREITWIESER, M', u'ENG130B') 0.03125
(u'BREITWIESER, M', u'ENG45B') 0.0625
(u'BREITWIESER, M', u'EN190') 0.01875
(u'BREITWIESER, M', u'ENGN132') 0.0375
(u'BREITWIESER, M', u'ENGLISH27') 0.0375
(u'BREITWIESER, M', u'ENGLISHN173') 0.0625
(u'BREITWIESER, M', u'ENGLISH125E') 0.025
(u'STARKEY, P', u'EDUC114A') -0.0416666666667
(u'STARKEY, P', u'EDU114A') -0.125
(u'LUCEY, M', u'CL00') 0.0416666666667
(u'LUCEY, M', u'COMPLIT20') 0.166666666667
(u'LUCEY, M', u'CL100') 0.125
(u'LUCEY, M', u'FRENCH') 0.0416666666667
(u'LUCEY, M', u'EXISTENTIALISM') 0.125
(u'HOLMES, I', u'BIOE131') -0.625
(u'SILVERMAN, K', u'RHETORIC') -0.0514705882353
(u'SILVERMAN, K', u'MANY') -0.00735294117647
(u'SILVERMAN, K', u'RHET198') -0.0367647058824
(u'SILVERMAN, K', u'RHETXXX') -0.00735294117647
(u'SILVERMAN, K', u'RHET20') 0.00735294117647
(u'SILVERMAN, K', u'RH20') 0.0
(u'SILVERMAN, K', u'FILMRHETORIC') -0.0147058823529
(u'SILVERMAN, K', u'RHET133') 0.0367647058824
(u'SILVERMAN, K', u'RHE20') 0.00735294117647
(u'SILVERMAN, K', u'RHETORIC20') 0.00735294117647
(u'BYRNE, R', u'GEOGRAPHY10') 0.0
(u'BYRNE, R', u'GEO109') -0.0104166666667
(u'BYRNE, R', u'GEOG148') 0.114583333333
(u'BYRNE, R', u'GEO148') 0.03125
(u'BYRNE, R', u'INTROGEOGRAPH') 0.0208333333333
(u'BYRNE, R', u'GEOG109') 0.0625
(u'BYRNE, R', u'GEOG1') -0.0520833333333
(u'BYRNE, R', u'GEOGRAPHY') 0.0104166666667
(u'MATTSON, K', u'TDPS172') 0.03125
(u'MATTSON, K', u'TDPS60') -0.03125
(u'MATTSON, K', u'THEATER60') 0.21875
(u'SATARIANO, B', u'PH150E') 0.625
(u'DEVALOIS, "', u'PSYCH110') 0.25
(u'RAMAN, V', u'MC10') 0.625
(u'HUSSONG, R', u'INTAGLIO') 0.0
(u'HUSSONG, R', u'PRINT16') 0.075
(u'HUSSONG, R', u'ART124') -0.0375
(u'HUSSONG, R', u'PRINT') 0.05
(u'HUSSONG, R', u'PRINT120') -0.0125
(u'HUSSONG, R', u'ART14') 0.05
(u'HUSSONG, R', u'ART16') 0.025
(u'ASERA, D', u'FIN') -1.0
(u'ALFONSO, D', u'LGBT100') 0.0416666666667
(u'ALFONSO, D', u'LGBT147B') 0.0625
(u'ALFONSO, D', u'ANTH147') 0.0416666666667
(u'ALFONSO, D', u'LGBT20AC') 0.0
(u'SIAPNO, J', u'SEASIAN10B') -0.75
(u'HOFFMAN, B', u'THEA11') 0.166666666667
(u'HOFFMAN, B', u'PHIL100') 0.0416666666667
(u'HOFFMAN, B', u'DESCARTES') 0.0833333333333
(u'HOFFMAN, D', u'FRN3') 0.55
(u'HOFFMAN, D', u'FR003') 0.35
(u'BECKENDORF, S', u'MCB142CIB163') -0.0625
(u'BECKENDORF, S', u'MCB142') -0.325
(u'BECKENDORF, S', u'IB163C') -0.025
(u'BECKENDORF, S', u'IB163') -0.0625
(u'WALLSTEN, K', u'POLIS1') 0.0441176470588
(u'WALLSTEN, K', u'POLITICALSCIEN') 0.0588235294118
(u'WALLSTEN, K', u'POLISCIENCE') 0.0588235294118
(u'WALLSTEN, K', u'POLY1') 0.0441176470588
(u'WALLSTEN, K', u'PSONEWED') 0.0294117647059
(u'WALLSTEN, K', u'PS3') 0.0882352941176
(u'WALLSTEN, K', u'POLI1') 0.0367647058824
(u'WALLSTEN, K', u'PS1') 0.301470588235
(u'WALLSTEN, K', u'POLISCI164A') 0.0441176470588
(u'DAVIDS, R', u'ARCH100A') 0.0
(u'KELLY, A', u'PS164') 0.25
(u'ALVAREZ, W', u'EPSEPS') 0.05
(u'ALVAREZ, W', u'BIGHIST') 0.05625
(u'ALVAREZ, W', u'EPS84') 0.05
(u'ALVAREZ, W', u'EPS51') 0.075
(u'ALVAREZ, W', u'GEOLOGY10') 0.0
(u'ALVAREZ, W', u'EPS102') 0.075
(u'ALVAREZ, W', u'BIGH100') 0.0375
(u'ALVAREZ, W', u'STRATIGRAPHY') 0.0125
(u'ALVAREZ, W', u'EPS115') 0.0375
(u'ALVAREZ, W', u'GEOL') 0.0
(u'ALVAREZ, W', u'EPSC151') 0.0375
(u'ALVAREZ, W', u'EPS24') 0.0875
(u'ALVAREZ, W', u'EPSC51') 0.05
(u'ALVAREZ, W', u'EPS119') 0.1
(u'JACOBSON, N', u'AMERICANPOLI') 0.142857142857
(u'JACOBSON, N', u'PS113') 0.25
(u'JACOBSON, N', u'PS113A') 0.0178571428571
(u'TUGAL, C', u'SOC140') -0.0625
(u'TUGAL, C', u'SOC102') 0.0625
(u'HINTZEN, P', u'AF27AC') 0.01875
(u'HINTZEN, P', u'AFRIC112A') -0.0375
(u'HINTZEN, P', u'AFAMS27AC') 0.0
(u'HINTZEN, P', u'AFRAM27AC') -0.0125
(u'HINTZEN, P', u'AAS112B') -0.00625
(u'HINTZEN, P', u'AA112B') 0.01875
(u'HINTZEN, P', u'AAS112A') 0.025
(u'HINTZEN, P', u'AFRO27AC') 0.025
(u'HINTZEN, P', u'AAS27AC') -0.1375
(u'HINTZEN, P', u'AFAM27AC') -0.00625
(u'GENELL, A', u'HIST109C') 0.5
